name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW
Ederson_Santana de Moraes_260,0,30,0,0,0,18,0,0,24,0.0,1,0,260,0,0,198,0,1,0,2.1,10653,20.8,0,2018-12-30T14:15:00Z,30 Dec 14:15,0,0,90,0,0,16,0,0,0,0,5,0,20,3,1402387,0,0,0,3,1,0.0,3,-59752,8305,68057,57,False,0,0,20
Edimilson_Fernandes_416,0,0,0,0,0,0,0,0,0,0.0,0,0,416,0,0,192,0,0,0,0.0,10809,0.0,0,2018-12-30T14:15:00Z,30 Dec 14:15,0,0,0,0,0,4,0,0,0,0,0,0,20,0,5046,0,0,0,0,2,0.0,0,-70,2,72,45,False,0,0,20
Edward_Nketiah_552,0,0,0,0,0,0,0,0,0,0.0,0,0,552,0,0,196,0,0,0,0.0,10945,0.0,0,2018-12-29T17:30:00Z,29 Dec 17:30,0,0,0,0,0,12,0,0,0,0,0,0,20,0,1009,0,0,0,1,5,0.0,0,15,132,117,50,False,0,0,20
Eldin_Jakupovic_214,0,0,0,0,0,0,0,0,0,0.0,0,0,214,0,0,195,0,0,0,0.0,10607,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,5,0,0,0,0,0,0,20,0,5610,0,0,0,1,0,0.0,0,-51,25,76,44,True,0,0,20
Elias_Kachunga_212,0,7,0,0,0,4,0,0,4,10.1,0,0,212,0,0,194,0,1,0,1.7,10605,4.4,1,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,25,0,0,9,0,0,0,0,0,0,20,0,4648,0,0,0,0,1,2.0,1,64,191,127,48,False,0,0,20
Emerson_Hyndman_41,0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,197,0,0,0,0.0,10434,0.0,0,2018-12-30T16:30:00Z,30 Dec 16:30,0,0,0,0,0,14,0,0,0,0,0,0,20,0,2421,0,0,0,1,4,0.0,0,-29,2,31,45,False,0,0,20
Emerson_Palmieri dos Santos_121,0,3,0,0,0,4,0,0,2,0.1,1,0,121,0,0,193,0,0,0,0.2,10514,2.2,0,2018-12-30T12:00:00Z,30 Dec 12:00,0,0,8,0,0,7,0,0,0,0,1,0,20,0,6732,0,0,0,1,0,0.0,1,-32,120,152,52,False,0,0,20
Emile_Smith-Rowe_545,0,0,0,0,0,0,0,0,0,0.0,0,0,545,0,0,196,0,0,0,0.0,10938,0.0,0,2018-12-29T17:30:00Z,29 Dec 17:30,0,0,0,0,0,12,0,0,0,0,0,0,20,0,248,0,0,0,1,5,0.0,0,-19,7,26,45,False,0,0,20
Emiliano_Martínez_542,0,0,0,0,0,0,0,0,0,0.0,0,0,542,0,0,196,0,0,0,0.0,10935,0.0,0,2018-12-29T17:30:00Z,29 Dec 17:30,0,0,0,0,0,12,0,0,0,0,0,0,20,0,20505,0,0,0,1,5,0.0,0,30,672,642,40,False,0,0,20
Eric_Bailly_291,0,53,0,0,0,9,0,9,51,0.6,0,0,291,0,0,197,1,1,0,1.6,10684,15.4,0,2018-12-30T16:30:00Z,30 Dec 16:30,0,0,78,0,0,2,0,0,0,0,3,1,20,0,87767,0,1,0,1,4,0.0,-1,-3059,516,3575,50,True,0,0,20
