name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Chris Wood,FWD,Nott'm Forest,0.0,0,0,0,0,0,0.0,0,525,0.00,0.00,0.00,0.00,127,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,6,0,0,0,0,0,13,0,687082,0,0,2,0,0.0,0,-24870,142,25012,72,True,0
Rayan Cherki,MID,Man City,0.0,1,0,13,0,1,12.3,2,417,0.10,0.10,0.00,0.13,126,0,0,3.6,19.6,2025-11-29T15:00:00Z,15,False,11,0,0,0,1,0,13,0,527439,0,0,2,3,4.0,4,80070,90036,9966,64,True,0
Emiliano Martínez Romero,GK,Aston Villa,0.0,0,0,30,1,1,0.0,0,32,0.00,0.00,0.00,0.49,121,0,0,3.1,31.4,2025-11-30T14:05:00Z,90,False,20,0,0,0,4,0,13,4,687113,1,0,0,1,0.0,7,59659,68967,9308,50,True,0
Josh King,MID,Fulham,0.0,1,0,17,0,2,11.6,8,335,0.00,0.00,0.00,0.50,129,1,0,3.3,19.8,2025-11-29T20:00:00Z,67,False,18,0,0,0,5,0,13,0,441089,1,1,2,1,2.0,5,-26641,10054,36695,45,False,0
Lewis Dunk,DEF,Brighton,0.0,0,0,29,1,7,0.8,7,146,0.01,0.01,0.00,0.71,127,0,0,2.7,24.4,2025-11-30T14:05:00Z,90,False,16,0,0,0,6,0,13,0,141698,1,0,2,0,2.0,6,-3366,3340,6706,45,False,0
Willy Boly,DEF,Nott'm Forest,0.0,0,0,0,0,0,0.0,0,514,0.00,0.00,0.00,0.00,127,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,6,0,0,0,0,0,13,0,53051,0,0,2,0,0.0,0,-1162,166,1328,39,True,0
Yusuf Akhamrich,MID,Spurs,0.0,0,0,0,0,0,0.0,0,751,0.00,0.00,0.00,0.00,129,0,0,0.0,0.0,2025-11-29T20:00:00Z,0,False,10,0,0,0,0,0,13,0,263,0,0,2,1,0.0,0,16,55,39,45,True,0
William Osula,FWD,Newcastle,0.0,0,0,0,0,0,0.0,0,500,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2025-11-29T17:30:00Z,0,False,9,0,0,0,0,0,13,0,29853,0,0,4,1,0.0,0,-1845,73,1918,54,False,0
Luca Koleosho,MID,Burnley,0.0,0,0,0,0,0,0.0,0,208,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,5,0,0,0,0,0,13,0,1463,0,0,1,3,0.0,0,-16,0,16,50,False,0
Omar Richards,DEF,Nott'm Forest,0.0,0,0,0,0,0,0.0,0,512,0.00,0.00,0.00,0.00,127,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,6,0,0,0,0,0,13,0,2655,0,0,2,0,0.0,0,-28,0,28,45,True,0
Anthony Gordon,MID,Newcastle,0.0,0,0,3,0,0,0.3,0,485,0.00,0.00,0.00,0.05,125,0,0,0.0,0.0,2025-11-29T17:30:00Z,1,False,9,0,0,0,0,0,13,0,180694,0,0,4,1,0.0,1,-13747,6780,20527,72,False,0
Antoni Milambo,MID,Brentford,0.0,0,0,0,0,0,0.0,0,122,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,3,0,0,0,0,0,13,0,3917,0,0,1,3,0.0,0,-76,19,95,52,True,0
Martín Zubimendi Ibáñez,MID,Arsenal,0.0,0,0,1,0,1,11.4,4,26,0.01,0.01,0.00,0.52,123,1,0,1.4,2.2,2025-11-30T16:30:00Z,56,False,7,0,0,0,3,0,13,0,332164,1,0,1,1,0.0,0,-23999,6998,30997,54,False,1
Jaidon Anthony,MID,Burnley,0.0,1,0,13,0,0,1.3,0,200,0.00,0.00,0.00,1.55,122,3,0,0.4,0.2,2025-11-29T15:00:00Z,15,False,5,0,0,0,0,0,13,0,520283,0,0,1,3,2.0,4,-82475,5471,87946,55,False,0
Curtis Jones,MID,Liverpool,0.0,0,0,5,0,0,10.8,1,388,0.01,0.01,0.00,0.15,130,0,0,1.5,4.6,2025-11-30T14:05:00Z,15,False,19,0,0,0,0,0,13,0,9345,0,1,2,0,0.0,1,-36,236,272,54,False,0
Caoimhín Kelleher,GK,Brentford,0.0,0,0,7,0,1,0.0,0,101,0.00,0.00,0.00,0.95,122,1,0,1.1,10.8,2025-11-29T15:00:00Z,90,False,3,0,0,0,9,0,13,1,1052670,1,0,1,3,0.0,2,9265,24328,15063,45,True,0
Bertrand Traoré,MID,Sunderland,0.0,0,1,31,0,0,22.6,8,735,0.07,0.14,0.07,1.53,128,2,1,10.2,46.6,2025-11-29T15:00:00Z,62,False,4,0,0,0,6,0,13,0,7398,1,2,2,3,33.0,8,76,859,783,55,True,0
James McAtee,MID,Nott'm Forest,0.0,0,0,3,0,0,1.7,0,426,0.00,0.00,0.00,0.09,127,1,0,0.4,0.2,2025-11-30T14:05:00Z,5,False,6,0,0,0,0,0,13,0,11309,0,0,2,0,2.0,1,-214,178,392,51,True,0
Guglielmo Vicario,GK,Spurs,0.0,0,0,0,0,3,0.0,0,565,0.00,0.00,0.00,0.45,129,2,0,0.4,3.6,2025-11-29T20:00:00Z,90,False,10,0,0,0,6,0,13,1,1136056,1,0,2,1,0.0,1,-18716,10674,29390,50,True,0
Jaydee Canvot,DEF,Crystal Palace,0.0,0,0,0,0,0,0.0,0,723,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2025-11-30T12:00:00Z,0,False,14,0,0,0,0,0,13,0,2305,0,0,2,1,0.0,0,-57,151,208,45,True,0
Zach Marsh,FWD,Crystal Palace,0.0,0,0,0,0,0,0.0,0,286,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2025-11-30T12:00:00Z,0,False,14,0,0,0,0,0,13,0,38439,0,0,2,1,0.0,0,-656,906,1562,45,True,0
Joe Anderson,DEF,Sunderland,0.0,0,0,0,0,0,0.0,0,534,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,4,0,0,0,0,0,13,0,52425,0,0,2,3,0.0,0,-1073,365,1438,39,True,0
Noussair Mazraoui,DEF,Man Utd,0.0,0,0,8,0,6,10.3,7,438,0.00,0.00,0.00,0.24,124,0,0,2.7,16.2,2025-11-30T12:00:00Z,36,False,8,0,0,0,1,0,13,0,23945,0,1,2,1,0.0,1,15,732,717,49,False,0
Cristian Romero,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,569,0.00,0.00,0.00,0.00,129,0,0,0.0,0.0,2025-11-29T20:00:00Z,0,False,10,0,0,0,0,0,13,0,444533,0,0,2,1,0.0,0,-42017,1606,43623,50,True,0
Václav Hladký,GK,Burnley,0.0,0,0,0,0,0,0.0,0,185,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,5,0,0,0,0,0,13,0,31882,0,0,1,3,0.0,0,447,806,359,39,False,0
Mads Roerslev Rasmussen,DEF,Brentford,0.0,0,0,0,0,0,0.0,0,112,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,3,0,0,0,0,0,13,0,1986,0,0,1,3,0.0,0,-21,0,21,45,True,0
