name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Alisson_Ramses Becker_189,0,0,0,0,0.0,189,44,0,0,0.0,0.0,2019-09-14T11:30:00Z,0,13,0,0,0,0,5,0,430058,1,3,0.0,0,-57493,3503,60996,58,True,0,5
Allan_Saint-Maximin_500,0,0,0,0,0.0,500,44,0,0,0.0,0.0,2019-09-14T11:30:00Z,0,10,0,0,0,0,5,0,14955,1,3,0.0,0,-4559,73,4632,54,False,0,5
Andreas_Christensen_108,0,0,15,0,0.3,108,50,2,0,2.3,22.6,2019-09-14T14:00:00Z,90,20,0,0,0,0,5,0,77756,5,2,0.0,0,-12379,4412,16791,50,False,1,5
Andreas_Pereira_246,0,0,0,1,13.3,246,45,0,0,4.7,14.6,2019-09-14T14:00:00Z,90,9,0,0,0,0,5,0,39490,0,1,19.0,3,-6677,2168,8845,50,True,0,5
Andrew_Robertson_181,1,0,26,0,33.7,181,44,1,0,11.2,40.8,2019-09-14T11:30:00Z,90,13,0,0,0,0,5,0,1382365,1,3,37.0,5,-119376,34980,154356,69,True,0,5
Andrew_Surman_80,0,0,0,0,0.0,80,42,0,0,0.0,0.0,2019-09-15T13:00:00Z,0,8,0,0,0,0,5,0,3249,1,3,0.0,0,-216,87,303,49,True,0,5
Andre_Gray_364,0,0,0,0,0.8,364,49,2,0,0.3,0.0,2019-09-15T15:30:00Z,53,1,0,0,0,0,5,0,46592,2,2,6.0,1,-3617,5453,9070,59,True,0,5
Andre_Green_32,0,0,0,0,0.0,32,41,0,0,0.0,0.0,2019-09-16T19:00:00Z,0,19,0,0,0,0,5,0,889,0,0,0.0,0,-105,16,121,49,True,0,5
Andriy_Yarmolenko_392,0,0,6,1,12.8,392,41,0,0,3.6,2.0,2019-09-16T19:00:00Z,61,2,0,0,0,0,5,0,19489,0,0,21.0,3,8215,10828,2613,59,False,0,5
Andros_Townsend_135,0,0,15,0,1.3,135,48,4,0,1.5,10.0,2019-09-14T14:00:00Z,84,17,0,0,0,0,5,0,135857,0,4,4.0,2,-24492,1616,26108,58,False,0,5
André Filipe_Tavares Gomes_422,0,0,0,0,0.0,422,42,0,0,0.0,0.0,2019-09-15T13:00:00Z,0,3,0,0,0,0,5,0,46433,1,3,0.0,0,-2729,2570,5299,54,False,0,5
