assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,463748,None,,0,0,0,0,0.0,474,48,None,,0,1,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,463,63,0,0,0,0.0,494,64,646,False,0.0,488,64,0,,None,40,676,72,0,0,None,0,,463748.jpg,0.0,492,64,0,0,0,Hein,0.0,520,68,False,None,0,0,a,1,3,0.0,447,44,0,1830,100,939,71,0.0,0.0,Hein,0
0,0,0,75,100,0,0,106468,None,,0,0,0,0,0.0,674,230,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Alexandre,0.0,667,225,0,0,0,0.0,678,230,32,False,0.0,677,230,0,Hamstring injury - 75% chance of playing,2023-09-24T22:30:06.810510Z,50,173,21,0,0,None,0,,106468.jpg,0.0,678,230,0,0,0,Moreno Lopera,0.1,436,171,False,None,0,0,d,2,7,0.0,670,230,0,6159,912,4207,650,0.0,0.0,Alex Moreno,0
1,3,64,None,None,1,0.45,215711,None,,0,0,0,0,52.4,138,95,3,,1,3,1.8,1.8,1,0.99,0.44,2.08,0.93,1.09,5.27,2.36,0.49,Leon,1.8,196,89,4,1.79,2,20.7,105,58,34,False,95.4,107,38,201,,None,55,107,65,0,0,None,0,,215711.jpg,4.4,45,21,0,0,0.0,Bailey,1.6,137,45,False,None,2,0.9,a,2,7,59.0,99,59,22,195113,3518,134289,7696,0.3,4.0,Bailey,1
0,0,0,0,0,0,0,195546,None,,0,0,-2,2,0.0,708,305,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Emiliano,0.0,701,303,0,0,0,0.0,708,305,35,False,0.0,708,305,0,Knee injury - Expected back 10 Feb,2023-08-10T11:00:05.686871Z,58,81,50,0,0,None,0,,195546.jpg,0.0,707,304,0,0,0,Buendía Stati,0.0,509,179,False,None,0,0,i,2,7,0.0,707,304,0,311,13,15968,101,0.0,0.0,Buendia,0
0,3,105,None,None,2,0.34,199796,None,,0,0,2,-2,34.6,177,48,None,,1,2,5.8,5.8,6,0.34,0.06,3.23,0.55,2.89,9.20,1.54,0.49,Matty,5.8,14,2,9,1.51,2,36.9,34,4,36,False,144.8,43,11,536,,None,47,330,37,1,0,None,0,,199796.jpg,4.7,37,9,0,0,0.0,Cash,18.0,20,6,False,None,6,1.01,a,2,7,189.0,19,1,28,1281546,95120,324614,16157,1.2,6.0,Cash,2
0,0,0,None,None,0,0,101184,None,,0,0,0,0,0.0,414,150,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Calum,0.0,404,135,0,0,0,0.0,437,153,37,False,0.0,431,152,0,,None,40,608,164,0,0,None,0,,101184.jpg,0.0,432,146,0,0,0,Chambers,1.1,158,61,False,None,0,0,a,2,7,0.0,385,135,0,16133,906,44188,1712,0.0,0.0,Chambers,0
0,0,7,0,0,0,0.0,84583,None,,0,0,-2,2,2.8,337,168,None,,0,3,0.0,0.0,0,0.02,0.08,0.17,0.64,0.15,0.68,2.55,0.56,Philippe,0.0,699,302,1,3.75,0,1.8,374,173,38,False,4.0,381,176,24,Joined Al-Duhail on loan for the rest of the season,2023-08-20T22:00:05.790965Z,58,75,46,0,0,None,0,,84583.jpg,1.0,386,185,0,0,0.0,Coutinho Correia,0.2,302,91,False,None,0,0.0,u,2,7,12.0,257,135,2,4781,0,43447,632,0.0,0.3,Coutinho,0
0,0,0,0,0,0,0,221239,None,,0,0,-1,1,0.0,663,79,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Keinan,0.0,656,78,0,0,0,0.0,668,79,39,False,0.0,664,77,0,Transferred to Udinese,2023-09-03T20:12:01.415986Z,49,265,53,0,0,None,0,,221239.jpg,0.0,668,79,0,0,0,Davis,0.2,348,56,False,None,0,0,u,2,7,0.0,659,79,0,4950,0,18449,584,0.0,0.0,Davis,0
0,0,6,100,100,0,0.0,151589,None,,0,0,-1,1,0.1,390,192,None,,0,3,0.5,0.5,1,0.00,0.0,0.00,0.0,0.00,0.19,8.55,0.0,Leander,0.5,328,156,0,0.0,0,0.5,400,187,40,False,5.2,373,171,2,,2023-08-10T15:00:04.947940Z,49,247,162,0,0,None,0,,151589.jpg,1.0,364,166,0,0,0.0,Dendoncker,0.0,619,246,False,None,0,0.0,a,2,7,0.0,652,269,2,291,44,1627,28,0.1,0.4,Dendoncker,0
0,0,27,0,0,0,0.0,165659,None,,0,0,-1,1,1.5,353,130,None,,0,2,0.0,0.0,0,0.01,0.01,0.38,0.22,0.37,2.46,1.38,0.21,Diego Carlos,0.8,285,95,4,2.25,0,8.7,261,91,41,False,40.6,243,96,160,Hamstring injury - Unknown return date,2023-09-04T05:00:07.186249Z,44,508,121,0,0,None,0,,165659.jpg,1.0,322,114,0,0,0.0,Santos Silva,0.3,265,102,False,None,2,1.12,i,2,7,45.0,126,18,4,10247,27,31034,1635,0.2,0.9,Diego Carlos,0
