first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Josh,Maja,2,0,26,556,4,63.6,87.8,214.0,3,77,36.3,4,0,0,0.9,55,FWD
Wes,Morgan,0,0,3,16,0,0.1,3.0,0.0,0,9,0.3,0,0,0,0.1,44,DEF
Kasper,Schmeichel,0,0,115,2700,34,0.0,665.0,0.0,6,536,66.5,10,0,0,9.6,54,GK
Christian,Fuchs,0,0,24,701,9,33.9,137.0,22.0,2,112,19.2,3,0,4,0.2,45,DEF
Jonny,Evans,0,1,78,2113,26,81.6,384.8,63.0,7,425,53.1,9,0,7,0.8,55,DEF
Adrien,Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,MID
Marc,Albrighton,0,5,52,1310,13,344.1,280.2,221.0,0,220,84.4,4,0,2,0.1,52,MID
Matty,James,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43,MID
Danny,Ward,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43,GK
Jamie,Vardy,12,12,149,2135,28,253.6,648.8,974.0,19,519,187.7,7,0,1,18.6,101,FWD
Dennis,Praet,1,2,35,651,8,126.4,118.4,114.0,1,119,35.7,3,0,0,0.2,52,MID
Ricardo Domingos,Barbosa Pereira,0,0,23,745,10,89.4,133.8,120.0,0,107,34.2,2,0,1,0.6,59,DEF
Daniel,Amartey,1,0,20,673,10,9.6,152.6,61.0,2,120,22.3,0,0,2,1.5,39,DEF
Youri,Tielemans,6,3,113,2636,34,467.3,666.0,372.0,11,506,150.6,10,0,6,3.7,65,MID
Ayoze,Pérez,2,0,47,1048,13,255.3,209.8,346.0,2,133,81.4,5,0,1,0.6,60,MID
Demarai,Gray,0,0,1,18,0,1.3,0.2,3.0,0,3,0.5,0,0,0,0.1,51,MID
James,Maddison,8,7,120,1642,20,638.7,535.8,526.0,12,401,169.9,9,0,4,4.8,71,MID
Kelechi,Iheanacho,6,0,57,792,8,195.4,244.4,409.0,9,210,84.5,4,0,0,4.6,58,FWD
Hamza,Choudhury,0,0,13,301,2,13.3,33.0,29.0,0,56,7.5,2,0,1,0.1,46,MID
Harvey,Barnes,9,5,126,1944,25,359.0,556.4,810.0,13,348,172.7,7,0,0,3.3,67,MID
Wilfred,Ndidi,1,3,59,1483,17,164.9,405.4,27.0,9,298,59.7,6,0,4,0.7,48,MID
Filip,Benkovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF
Çaglar,Söyüncü,0,0,37,1186,17,68.0,257.6,83.0,0,238,40.9,4,0,2,3.0,53,DEF
James,Justin,2,2,101,2070,25,290.7,472.2,195.0,13,447,96.0,9,0,4,7.0,49,DEF
Luke,Thomas,0,0,5,405,7,31.9,65.6,21.0,0,36,11.7,0,0,2,0.2,41,DEF
Timothy,Castagne,1,3,68,1625,21,228.0,335.6,124.0,4,334,68.7,5,0,1,4.0,57,DEF
Nampalys,Mendy,0,1,38,1370,21,106.1,137.6,16.0,0,215,26.1,4,0,5,1.6,42,MID
Cengiz,Ünder,0,2,16,275,5,87.5,73.4,88.0,0,62,24.9,0,0,0,0.0,57,MID
Wesley,Fofana,0,1,59,1684,19,81.2,387.4,73.0,5,353,54.3,6,0,5,0.4,50,DEF
Islam,Slimani,0,0,1,19,1,11.7,0.2,6.0,0,3,1.8,0,0,0,0.1,49,FWD
Vontae,Daley-Campbell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Thakgalo,Leshabela,0,0,1,9,0,1.4,0.6,0.0,0,2,0.2,0,0,0,0.0,44,MID
Sidnei,Tavares,0,0,3,84,1,1.2,9.6,9.0,0,10,2.0,0,0,0,0.0,44,MID
Shane,Flynn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Thanawat,Suengchitthawon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Pablo,Hernández Domínguez,0,2,20,330,5,82.0,70.6,92.0,0,76,24.4,0,0,1,0.2,57,MID
Francisco,Casilla Cortés,0,0,2,90,1,0.0,8.0,0.0,0,12,0.8,0,0,0,0.8,42,GK
